caseid,lengua_materna,tipo_residencia,educacion_anios_simples,miembros_hogar,indice_de_riqueza,edad_primer_nacimiento,d104,d106,d107,d108,indice_violencia
      328302101  2,10,1.0,11,6,3.0,19.0,1,1,0,0,2
      328302101  6,10,1.0,13,6,3.0,,0,0,0,0,0
      328303401  2,10,1.0,9,5,1.0,18.0,0,0,0,0,0
      328303901  2,10,1.0,11,3,2.0,20.0,0,0,0,0,0
      328305901  2,10,1.0,13,4,2.0,22.0,0,0,0,0,0
      328306101  2,10,1.0,11,4,2.0,22.0,0,0,0,0,0
      328306101  4,10,1.0,6,4,2.0,,0,0,0,0,0
      328307501  2,10,1.0,10,3,2.0,18.0,0,0,0,0,0
      328401101  2,10,1.0,14,5,4.0,20.0,1,1,0,0,2
      328403401  2,10,1.0,14,4,4.0,23.0,0,1,0,0,1
      328405601  3,10,1.0,16,6,5.0,38.0,0,0,0,0,0
      328405601  5,10,1.0,13,6,5.0,34.0,0,0,0,0,0
      328409201  2,10,1.0,16,4,4.0,20.0,0,0,0,0,0
      328409701  2,10,1.0,14,5,5.0,23.0,0,0,0,0,0
      328411401  2,10,1.0,14,5,5.0,23.0,0,0,0,0,0
      328412301  2,10,1.0,16,4,4.0,31.0,0,0,0,0,0
      328412301  3,10,1.0,9,4,4.0,,0,0,0,0,0
      328500601  3,1,1.0,16,5,2.0,,0,0,0,0,0
      328501101  2,1,1.0,9,4,1.0,18.0,0,0,0,0,0
      328506501  2,1,1.0,14,3,1.0,18.0,0,0,0,0,0
      328507401  1,1,1.0,11,3,1.0,21.0,0,0,0,0,0
      328604401  2,10,1.0,14,4,3.0,31.0,0,0,0,0,0
      328604401  3,10,1.0,6,4,3.0,,0,0,0,0,0
      328605201  1,1,1.0,9,5,1.0,16.0,0,0,0,0,0
      328605201  2,1,1.0,11,5,1.0,,0,0,0,0,0
      328605201  3,1,1.0,6,5,1.0,,0,0,0,0,0
      328606701  1,1,1.0,11,2,1.0,19.0,0,0,0,0,0
      328607501  2,1,1.0,5,5,1.0,22.0,0,1,0,0,1
      328607501  3,1,1.0,8,5,1.0,,0,0,0,0,0
      328607501  4,1,1.0,6,5,1.0,,0,0,0,0,0
      328608401  3,10,1.0,13,3,1.0,,0,0,0,0,0
      328608701  2,10,1.0,13,2,2.0,20.0,1,0,0,0,1
      328706701  2,10,2.0,9,3,1.0,17.0,0,1,0,1,2
      328707001  1,10,2.0,17,3,2.0,26.0,1,0,0,0,1
      328707401  2,10,2.0,9,7,1.0,19.0,0,0,0,0,0
      328707401  3,10,2.0,11,7,1.0,20.0,1,0,0,0,1
      328712301  1,10,2.0,11,3,1.0,18.0,0,0,0,0,0
      328712301  3,10,2.0,11,3,1.0,,0,0,0,0,0
      328712401  2,10,2.0,6,5,1.0,20.0,0,0,0,0,0
      328800601  2,10,2.0,11,3,1.0,18.0,0,0,0,0,0
      328805101  2,10,2.0,6,7,1.0,21.0,0,0,0,0,0
      328805101  4,10,2.0,9,7,1.0,,0,0,0,0,0
      328805101  6,10,2.0,11,7,1.0,20.0,0,0,0,0,0
      328805701  1,10,2.0,11,5,1.0,27.0,0,0,0,0,0
      328806901  2,10,2.0,11,3,1.0,15.0,0,0,0,0,0
      328807001  2,10,2.0,4,4,1.0,30.0,0,0,0,0,0
      328900601  1,1,2.0,3,4,1.0,22.0,0,0,0,0,0
      328900901  2,1,2.0,11,3,1.0,22.0,1,0,0,0,1
      328905501  2,10,2.0,11,3,1.0,29.0,0,0,0,0,0
      328905601  2,1,2.0,11,2,1.0,19.0,0,0,0,0,0
      328909801  1,1,2.0,6,5,1.0,22.0,0,0,0,0,0
      328909801  3,1,2.0,7,5,1.0,,0,0,0,0,0
      328909901  2,1,2.0,11,4,1.0,19.0,0,0,0,0,0
      328910101  2,1,2.0,3,4,1.0,19.0,0,0,0,0,0
      328910201  2,1,2.0,11,4,1.0,18.0,0,0,0,0,0
      329000101  2,1,2.0,0,5,1.0,19.0,0,0,0,0,0
      329000101  4,1,2.0,7,5,1.0,,0,0,0,0,0
      329000301  2,1,2.0,4,5,1.0,18.0,0,0,0,0,0
      329000401  2,1,2.0,2,5,1.0,18.0,0,0,0,0,0
      329000501  5,1,2.0,5,6,1.0,,0,0,0,0,0
      329005101  2,1,2.0,6,6,1.0,19.0,0,0,0,0,0
      329005101  3,10,2.0,7,6,1.0,,0,0,0,0,0
      329005401  2,1,2.0,3,4,1.0,18.0,1,0,0,0,1
      329005501  2,1,2.0,0,7,1.0,25.0,0,0,0,0,0
      329005501  3,1,2.0,10,7,1.0,,0,0,0,0,0
      329005501  4,1,2.0,12,7,1.0,17.0,0,0,0,0,0
      329005501  7,1,2.0,8,7,1.0,,0,0,0,0,0
      329007301  2,1,2.0,1,7,1.0,20.0,0,0,0,0,0
      329007701  4,1,2.0,9,5,1.0,16.0,0,0,0,0,0
      329007901  2,1,2.0,2,6,1.0,22.0,1,1,1,1,4
      329103601  2,1,2.0,4,4,1.0,22.0,1,0,0,0,1
      329103801  2,1,2.0,6,5,1.0,16.0,0,0,0,0,0
      329103801  3,1,2.0,11,5,1.0,25.0,0,0,0,0,0
      329104601  2,1,2.0,4,4,1.0,22.0,0,0,0,0,0
      329104601  3,1,2.0,8,4,1.0,,0,0,0,0,0
      329108801  2,1,2.0,5,5,1.0,20.0,0,0,0,0,0
      329109301  2,1,2.0,12,3,1.0,19.0,0,0,0,0,0
      329109401  2,1,2.0,6,3,1.0,21.0,0,0,0,0,0
      329109401  3,1,2.0,11,3,1.0,,0,0,0,0,0
      329109601  2,1,2.0,3,4,1.0,18.0,0,0,0,0,0
      329109601  3,1,2.0,11,4,1.0,,0,0,0,0,0
      329109801  3,1,2.0,11,3,1.0,,0,0,0,0,0
      329109901  3,1,2.0,9,7,1.0,19.0,0,0,0,0,0
      329109901  7,1,2.0,9,7,1.0,,0,0,0,0,0
      329200701  1,1,2.0,1,3,1.0,19.0,1,1,1,1,4
      329200801  2,1,2.0,14,4,1.0,22.0,1,0,0,0,1
      329201701  1,1,2.0,14,2,1.0,22.0,1,1,0,0,2
      329201901  2,1,2.0,14,4,1.0,25.0,0,0,0,0,0
      329202201  2,1,2.0,16,4,1.0,25.0,1,0,0,0,1
      329202801  2,1,2.0,14,6,2.0,18.0,0,0,0,0,0
      329203201  1,1,2.0,16,1,1.0,,0,0,0,0,0
      329204401  2,1,2.0,11,4,1.0,24.0,0,0,0,0,0
      329204401  4,1,2.0,11,4,1.0,17.0,1,1,1,0,3
      329205301  1,1,2.0,5,5,1.0,17.0,0,0,0,0,0
      329205301  2,1,2.0,10,5,1.0,,0,0,0,0,0
      329205501  2,1,2.0,0,3,1.0,18.0,0,0,0,0,0
      329206201  2,1,2.0,10,5,1.0,23.0,0,0,0,0,0
      329206201  3,10,2.0,11,5,1.0,,0,0,0,0,0
      329208101  2,1,2.0,8,3,1.0,22.0,1,1,1,1,4
      329301001  2,10,1.0,14,3,5.0,36.0,0,0,0,0,0
      329301401  2,10,1.0,18,3,5.0,35.0,0,0,0,0,0
      329301501  1,1,1.0,11,2,2.0,18.0,1,1,1,1,4
      329302401  2,10,1.0,14,4,4.0,21.0,1,1,0,0,2
      329311001  1,10,1.0,9,3,1.0,19.0,1,1,0,1,3
      329311201  2,10,1.0,14,3,3.0,21.0,0,0,0,0,0
      329314701  2,10,1.0,16,4,4.0,19.0,1,1,0,0,2
      329314701  3,10,1.0,6,4,4.0,,0,0,0,0,0
      329316901  2,10,1.0,16,3,3.0,31.0,0,1,0,0,1
      329403701  2,10,1.0,14,3,3.0,24.0,0,0,0,0,0
      329405901  1,10,1.0,11,6,4.0,19.0,1,1,1,1,4
      329409501  3,10,1.0,16,3,5.0,,0,0,0,0,0
      329410701  2,1,1.0,11,4,2.0,22.0,0,0,0,0,0
      329411401  1,1,1.0,12,3,2.0,21.0,1,0,0,0,1
      329413201  1,1,1.0,16,4,5.0,31.0,0,0,0,0,0
      329413401  2,10,1.0,14,4,2.0,22.0,1,1,1,0,3
